time,xy
2019/3/1 7:00,"[2,14,1],[3,14,1],[2,15,1],"
2019/3/1 7:01,"[6,13,1],[7,13,1],[8,13,1],[9,13,1],[10,13,1],[4,14,1],[5,14,1],[10,14,1],[11,14,1],"
2019/3/1 7:02,"[0,13,1],[1,13,1],[2,13,1],[7,13,1],[8,13,1],[3,14,1],[4,14,1],[5,14,1],[6,14,1],"
2019/3/1 7:03,"[5,13,1],[6,13,1],[7,13,1],[8,13,1],[9,13,2],[10,13,1],[2,14,2],[3,14,1],[4,14,1],[10,14,1],[11,14,1],[2,15,2],"
2019/3/1 7:04,"[5,13,1],[6,13,2],[7,13,2],[8,13,2],[9,13,2],[10,13,2],[3,14,1],[4,14,2],[5,14,1],[10,14,1],[11,14,1],[4,15,1],"
2019/3/1 7:05,"[6,13,1],[10,13,1],[4,14,1],[5,14,1],[10,14,2],[11,14,2],[4,15,1],"
2019/3/1 7:06,"[7,13,1],[8,13,1],[9,13,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:07,"[0,13,1],[1,13,1],[6,13,1],[2,14,1],[3,14,1],[4,14,1],[5,14,1],[2,15,1],"
2019/3/1 7:08,"[2,13,1],[7,13,2],[8,13,2],[9,13,2],[10,13,2],[3,14,1],[4,14,1],[5,14,1],[6,14,1],[8,14,1],[10,14,1],[11,14,2],"
2019/3/1 7:09,"[10,14,1],"
2019/3/1 7:10,"[0,13,1],[1,13,1],[2,13,1],[6,13,1],[7,13,1],[8,13,1],[3,14,1],[4,14,1],[5,14,1],"
2019/3/1 7:11,"[5,13,1],[6,13,1],[7,13,1],[8,13,1],[9,13,2],[10,13,1],[11,13,1],[2,14,2],[3,14,2],[4,14,2],[10,14,1],[11,14,1],[2,15,2],[4,15,1],"
2019/3/1 7:12,"[6,13,2],[7,13,2],[8,13,2],[9,13,2],[10,13,3],[2,14,1],[4,14,1],[5,14,2],[10,14,3],[11,14,3],[2,15,1],"
2019/3/1 7:13,"[9,13,1],[10,13,1],[3,14,1],[4,14,1],[5,14,1],[6,14,1],[7,14,1],[8,14,1],"
2019/3/1 7:14,"[2,14,2],[3,14,1],[4,14,1],[5,14,1],[6,14,1],[10,14,1],[11,14,1],[2,15,2],"
2019/3/1 7:15,"[5,13,2],[6,13,3],[7,13,3],[9,13,2],[10,13,2],[2,14,2],[3,14,3],[4,14,3],[5,14,1],[7,14,1],[8,14,2],[10,14,1],[11,14,1],[2,15,2],"
2019/3/1 7:16,"[8,12,1],[8,13,1],[9,13,2],[10,13,2],[11,13,1],[10,14,3],[11,14,3],"
2019/3/1 7:18,"[5,13,2],[6,13,1],[7,13,1],[8,13,1],[2,14,1],[3,14,1],[4,14,2],[5,14,1],[9,14,1],[2,15,1],[4,15,1],"
2019/3/1 7:19,"[9,12,1],[6,13,1],[7,13,1],[8,13,1],[10,13,2],[10,14,2],[11,14,2],"
2019/3/1 7:20,"[6,13,1],[7,13,1],[8,13,1],[2,14,1],[3,14,1],[4,14,1],[5,14,1],[6,14,1],[2,15,1],"
2019/3/1 7:21,"[5,13,1],[6,13,1],[9,13,1],[10,13,1],[2,14,1],[3,14,1],[4,14,1],[10,14,1],[11,14,1],[2,15,1],"
2019/3/1 7:22,"[5,13,1],[6,13,1],[7,13,2],[8,13,2],[9,13,2],[10,13,1],[2,14,1],[3,14,1],[4,14,1],[10,14,1],[11,14,1],[2,15,1],"
2019/3/1 7:23,"[7,13,1],[8,13,1],[9,13,1],[10,13,2],[2,14,2],[3,14,1],[4,14,2],[5,14,2],[6,14,2],[10,14,1],[11,14,1],[2,15,2],[4,15,2],"
2019/3/1 7:24,"[3,13,1],[5,13,1],[6,13,2],[7,13,3],[8,13,3],[9,13,3],[10,13,3],[4,14,2],[5,14,1],[10,14,3],[11,14,3],"
2019/3/1 7:25,"[10,14,1],[11,14,1],"
2019/3/1 7:26,"[5,13,1],[6,13,1],[2,14,3],[3,14,3],[4,14,1],[7,14,1],[2,15,3],"
2019/3/1 7:27,"[7,12,1],[9,12,1],[10,12,1],[5,13,1],[6,13,2],[7,13,1],[8,13,3],[9,13,1],[10,13,3],[4,14,2],[5,14,1],[9,14,1],[10,14,3],[11,14,3],"
2019/3/1 7:28,"[0,13,1],[1,13,1],[2,13,1],"
2019/3/1 7:29,"[5,13,1],[6,13,1],[8,13,1],[9,13,1],[10,13,1],[2,14,2],[3,14,2],[4,14,3],[5,14,2],[6,14,1],[7,14,1],[11,14,1],[2,15,2],[4,15,1],"
2019/3/1 7:30,"[0,13,2],[1,13,2],[2,13,2],[5,13,1],[6,13,3],[7,13,4],[8,13,3],[9,13,3],[10,13,3],[2,14,1],[3,14,3],[4,14,3],[5,14,2],[8,14,1],[10,14,6],[11,14,3],"
2019/3/1 7:31,"[4,12,1],[5,12,1],[6,12,1],[7,12,2],[8,12,2],[10,12,1],[6,13,1],[7,13,1],[8,13,1],[9,13,5],[10,13,11],[11,13,1],[15,13,1],[16,13,1],[4,14,1],[5,14,1],[6,14,1],[7,14,1],[8,14,2],[9,14,1],[10,14,19],[11,14,16],[12,14,2],[13,14,2],[14,14,2],[17,14,1],[4,15,1],"
2019/3/1 7:32,"[9,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[2,12,2],[3,12,2],[4,12,5],[5,12,7],[6,12,8],[7,12,8],[8,12,10],[9,12,8],[0,13,1],[1,13,3],[2,13,1],[4,13,1],[5,13,3],[6,13,3],[7,13,4],[8,13,6],[9,13,10],[10,13,12],[11,13,2],[12,13,1],[13,13,1],[14,13,2],[15,13,1],[16,13,1],[2,14,3],[3,14,4],[4,14,5],[5,14,5],[6,14,4],[7,14,5],[8,14,2],[9,14,1],[10,14,10],[11,14,14],[12,14,5],[13,14,4],[14,14,3],[15,14,4],[16,14,1],[17,14,2],[18,14,1],[19,14,1],[2,15,1],[4,15,1],"
2019/3/1 7:33,"[10,1,1],[11,1,1],[10,2,1],[9,3,1],[9,4,1],[9,5,1],[9,6,1],[18,6,1],[17,7,2],[18,7,1],[17,8,1],[18,8,2],[16,9,1],[18,9,1],[17,10,2],[16,11,2],[2,12,3],[3,12,4],[4,12,4],[5,12,4],[6,12,3],[7,12,2],[8,12,1],[16,12,2],[5,13,1],[8,13,2],[9,13,1],[10,13,3],[15,13,1],[16,13,1],[2,14,3],[3,14,3],[4,14,4],[5,14,2],[6,14,2],[7,14,1],[8,14,1],[9,14,1],[10,14,4],[11,14,4],[17,14,1],[18,14,1],[19,14,1],[20,14,2],[2,15,1],[4,15,1],[19,15,1],[20,15,2],"
