,sid,time,total,y,x
0,11402,2019/3/1 7:00,1,2,14.0
1,11403,2019/3/1 7:00,1,3,14.0
2,11502,2019/3/1 7:00,1,2,15.0
3,11306,2019/3/1 7:01,1,6,13.0
4,11307,2019/3/1 7:01,1,7,13.0
5,11308,2019/3/1 7:01,1,8,13.0
6,11309,2019/3/1 7:01,1,9,13.0
7,11310,2019/3/1 7:01,1,10,13.0
8,11404,2019/3/1 7:01,1,4,14.0
9,11405,2019/3/1 7:01,1,5,14.0
10,11410,2019/3/1 7:01,1,10,14.0
11,11411,2019/3/1 7:01,1,11,14.0
12,11300,2019/3/1 7:02,1,0,13.0
13,11301,2019/3/1 7:02,1,1,13.0
14,11302,2019/3/1 7:02,1,2,13.0
15,11307,2019/3/1 7:02,1,7,13.0
16,11308,2019/3/1 7:02,1,8,13.0
17,11403,2019/3/1 7:02,1,3,14.0
18,11404,2019/3/1 7:02,1,4,14.0
19,11405,2019/3/1 7:02,1,5,14.0
20,11406,2019/3/1 7:02,1,6,14.0
21,11305,2019/3/1 7:03,1,5,13.0
22,11306,2019/3/1 7:03,1,6,13.0
23,11307,2019/3/1 7:03,1,7,13.0
24,11308,2019/3/1 7:03,1,8,13.0
25,11309,2019/3/1 7:03,2,9,13.0
27,11310,2019/3/1 7:03,1,10,13.0
28,11402,2019/3/1 7:03,2,2,14.0
30,11403,2019/3/1 7:03,1,3,14.0
31,11404,2019/3/1 7:03,1,4,14.0
32,11410,2019/3/1 7:03,1,10,14.0
33,11411,2019/3/1 7:03,1,11,14.0
34,11502,2019/3/1 7:03,2,2,15.0
36,11305,2019/3/1 7:04,1,5,13.0
37,11306,2019/3/1 7:04,2,6,13.0
39,11307,2019/3/1 7:04,2,7,13.0
41,11308,2019/3/1 7:04,2,8,13.0
43,11309,2019/3/1 7:04,2,9,13.0
45,11310,2019/3/1 7:04,2,10,13.0
47,11403,2019/3/1 7:04,1,3,14.0
48,11404,2019/3/1 7:04,2,4,14.0
50,11405,2019/3/1 7:04,1,5,14.0
51,11410,2019/3/1 7:04,1,10,14.0
52,11411,2019/3/1 7:04,1,11,14.0
53,11504,2019/3/1 7:04,1,4,15.0
54,11306,2019/3/1 7:05,1,6,13.0
55,11310,2019/3/1 7:05,1,10,13.0
56,11404,2019/3/1 7:05,1,4,14.0
57,11405,2019/3/1 7:05,1,5,14.0
58,11410,2019/3/1 7:05,2,10,14.0
60,11411,2019/3/1 7:05,2,11,14.0
62,11504,2019/3/1 7:05,1,4,15.0
63,11307,2019/3/1 7:06,1,7,13.0
64,11308,2019/3/1 7:06,1,8,13.0
65,11309,2019/3/1 7:06,1,9,13.0
66,11310,2019/3/1 7:06,1,10,13.0
67,11410,2019/3/1 7:06,1,10,14.0
68,11411,2019/3/1 7:06,1,11,14.0
69,11300,2019/3/1 7:07,1,0,13.0
70,11301,2019/3/1 7:07,1,1,13.0
71,11306,2019/3/1 7:07,1,6,13.0
72,11402,2019/3/1 7:07,1,2,14.0
73,11403,2019/3/1 7:07,1,3,14.0
74,11404,2019/3/1 7:07,1,4,14.0
75,11405,2019/3/1 7:07,1,5,14.0
76,11502,2019/3/1 7:07,1,2,15.0
77,11302,2019/3/1 7:08,1,2,13.0
78,11307,2019/3/1 7:08,2,7,13.0
80,11308,2019/3/1 7:08,2,8,13.0
82,11309,2019/3/1 7:08,2,9,13.0
84,11310,2019/3/1 7:08,2,10,13.0
86,11403,2019/3/1 7:08,1,3,14.0
87,11404,2019/3/1 7:08,1,4,14.0
88,11405,2019/3/1 7:08,1,5,14.0
89,11406,2019/3/1 7:08,1,6,14.0
90,11408,2019/3/1 7:08,1,8,14.0
91,11410,2019/3/1 7:08,1,10,14.0
92,11411,2019/3/1 7:08,2,11,14.0
94,11410,2019/3/1 7:09,1,10,14.0
95,11300,2019/3/1 7:10,1,0,13.0
96,11301,2019/3/1 7:10,1,1,13.0
97,11302,2019/3/1 7:10,1,2,13.0
98,11306,2019/3/1 7:10,1,6,13.0
99,11307,2019/3/1 7:10,1,7,13.0
100,11308,2019/3/1 7:10,1,8,13.0
101,11403,2019/3/1 7:10,1,3,14.0
102,11404,2019/3/1 7:10,1,4,14.0
103,11405,2019/3/1 7:10,1,5,14.0
104,11305,2019/3/1 7:11,1,5,13.0
105,11306,2019/3/1 7:11,1,6,13.0
106,11307,2019/3/1 7:11,1,7,13.0
107,11308,2019/3/1 7:11,1,8,13.0
108,11309,2019/3/1 7:11,2,9,13.0
110,11310,2019/3/1 7:11,1,10,13.0
111,11311,2019/3/1 7:11,1,11,13.0
112,11402,2019/3/1 7:11,2,2,14.0
114,11403,2019/3/1 7:11,2,3,14.0
116,11404,2019/3/1 7:11,2,4,14.0
118,11410,2019/3/1 7:11,1,10,14.0
119,11411,2019/3/1 7:11,1,11,14.0
120,11502,2019/3/1 7:11,2,2,15.0
122,11504,2019/3/1 7:11,1,4,15.0
123,11306,2019/3/1 7:12,2,6,13.0
125,11307,2019/3/1 7:12,2,7,13.0
127,11308,2019/3/1 7:12,2,8,13.0
129,11309,2019/3/1 7:12,2,9,13.0
131,11310,2019/3/1 7:12,3,10,13.0
134,11402,2019/3/1 7:12,1,2,14.0
135,11404,2019/3/1 7:12,1,4,14.0
136,11405,2019/3/1 7:12,2,5,14.0
138,11410,2019/3/1 7:12,3,10,14.0
141,11411,2019/3/1 7:12,3,11,14.0
144,11502,2019/3/1 7:12,1,2,15.0
145,11309,2019/3/1 7:13,1,9,13.0
146,11310,2019/3/1 7:13,1,10,13.0
147,11403,2019/3/1 7:13,1,3,14.0
148,11404,2019/3/1 7:13,1,4,14.0
149,11405,2019/3/1 7:13,1,5,14.0
150,11406,2019/3/1 7:13,1,6,14.0
151,11407,2019/3/1 7:13,1,7,14.0
152,11408,2019/3/1 7:13,1,8,14.0
153,11402,2019/3/1 7:14,2,2,14.0
155,11403,2019/3/1 7:14,1,3,14.0
156,11404,2019/3/1 7:14,1,4,14.0
157,11405,2019/3/1 7:14,1,5,14.0
158,11406,2019/3/1 7:14,1,6,14.0
159,11410,2019/3/1 7:14,1,10,14.0
160,11411,2019/3/1 7:14,1,11,14.0
161,11502,2019/3/1 7:14,2,2,15.0
163,11305,2019/3/1 7:15,2,5,13.0
165,11306,2019/3/1 7:15,3,6,13.0
168,11307,2019/3/1 7:15,3,7,13.0
171,11309,2019/3/1 7:15,2,9,13.0
173,11310,2019/3/1 7:15,2,10,13.0
175,11402,2019/3/1 7:15,2,2,14.0
177,11403,2019/3/1 7:15,3,3,14.0
180,11404,2019/3/1 7:15,3,4,14.0
183,11405,2019/3/1 7:15,1,5,14.0
184,11407,2019/3/1 7:15,1,7,14.0
185,11408,2019/3/1 7:15,2,8,14.0
187,11410,2019/3/1 7:15,1,10,14.0
188,11411,2019/3/1 7:15,1,11,14.0
189,11502,2019/3/1 7:15,2,2,15.0
191,11208,2019/3/1 7:16,1,8,12.0
192,11308,2019/3/1 7:16,1,8,13.0
193,11309,2019/3/1 7:16,2,9,13.0
195,11310,2019/3/1 7:16,2,10,13.0
197,11311,2019/3/1 7:16,1,11,13.0
198,11410,2019/3/1 7:16,3,10,14.0
201,11411,2019/3/1 7:16,3,11,14.0
204,11305,2019/3/1 7:18,2,5,13.0
206,11306,2019/3/1 7:18,1,6,13.0
207,11307,2019/3/1 7:18,1,7,13.0
208,11308,2019/3/1 7:18,1,8,13.0
209,11402,2019/3/1 7:18,1,2,14.0
210,11403,2019/3/1 7:18,1,3,14.0
211,11404,2019/3/1 7:18,2,4,14.0
213,11405,2019/3/1 7:18,1,5,14.0
214,11409,2019/3/1 7:18,1,9,14.0
215,11502,2019/3/1 7:18,1,2,15.0
216,11504,2019/3/1 7:18,1,4,15.0
217,11209,2019/3/1 7:19,1,9,12.0
218,11306,2019/3/1 7:19,1,6,13.0
219,11307,2019/3/1 7:19,1,7,13.0
220,11308,2019/3/1 7:19,1,8,13.0
221,11310,2019/3/1 7:19,2,10,13.0
223,11410,2019/3/1 7:19,2,10,14.0
225,11411,2019/3/1 7:19,2,11,14.0
227,11306,2019/3/1 7:20,1,6,13.0
228,11307,2019/3/1 7:20,1,7,13.0
229,11308,2019/3/1 7:20,1,8,13.0
230,11402,2019/3/1 7:20,1,2,14.0
231,11403,2019/3/1 7:20,1,3,14.0
232,11404,2019/3/1 7:20,1,4,14.0
233,11405,2019/3/1 7:20,1,5,14.0
234,11406,2019/3/1 7:20,1,6,14.0
235,11502,2019/3/1 7:20,1,2,15.0
236,11305,2019/3/1 7:21,1,5,13.0
237,11306,2019/3/1 7:21,1,6,13.0
238,11309,2019/3/1 7:21,1,9,13.0
239,11310,2019/3/1 7:21,1,10,13.0
240,11402,2019/3/1 7:21,1,2,14.0
241,11403,2019/3/1 7:21,1,3,14.0
242,11404,2019/3/1 7:21,1,4,14.0
243,11410,2019/3/1 7:21,1,10,14.0
244,11411,2019/3/1 7:21,1,11,14.0
245,11502,2019/3/1 7:21,1,2,15.0
246,11305,2019/3/1 7:22,1,5,13.0
247,11306,2019/3/1 7:22,1,6,13.0
248,11307,2019/3/1 7:22,2,7,13.0
250,11308,2019/3/1 7:22,2,8,13.0
252,11309,2019/3/1 7:22,2,9,13.0
254,11310,2019/3/1 7:22,1,10,13.0
255,11402,2019/3/1 7:22,1,2,14.0
256,11403,2019/3/1 7:22,1,3,14.0
257,11404,2019/3/1 7:22,1,4,14.0
258,11410,2019/3/1 7:22,1,10,14.0
259,11411,2019/3/1 7:22,1,11,14.0
260,11502,2019/3/1 7:22,1,2,15.0
261,11307,2019/3/1 7:23,1,7,13.0
262,11308,2019/3/1 7:23,1,8,13.0
263,11309,2019/3/1 7:23,1,9,13.0
264,11310,2019/3/1 7:23,2,10,13.0
266,11402,2019/3/1 7:23,2,2,14.0
268,11403,2019/3/1 7:23,1,3,14.0
269,11404,2019/3/1 7:23,2,4,14.0
271,11405,2019/3/1 7:23,2,5,14.0
273,11406,2019/3/1 7:23,2,6,14.0
275,11410,2019/3/1 7:23,1,10,14.0
276,11411,2019/3/1 7:23,1,11,14.0
277,11502,2019/3/1 7:23,2,2,15.0
279,11504,2019/3/1 7:23,2,4,15.0
281,11303,2019/3/1 7:24,1,3,13.0
282,11305,2019/3/1 7:24,1,5,13.0
283,11306,2019/3/1 7:24,2,6,13.0
285,11307,2019/3/1 7:24,3,7,13.0
288,11308,2019/3/1 7:24,3,8,13.0
291,11309,2019/3/1 7:24,3,9,13.0
294,11310,2019/3/1 7:24,3,10,13.0
297,11404,2019/3/1 7:24,2,4,14.0
299,11405,2019/3/1 7:24,1,5,14.0
300,11410,2019/3/1 7:24,3,10,14.0
303,11411,2019/3/1 7:24,3,11,14.0
306,11410,2019/3/1 7:25,1,10,14.0
307,11411,2019/3/1 7:25,1,11,14.0
308,11305,2019/3/1 7:26,1,5,13.0
309,11306,2019/3/1 7:26,1,6,13.0
310,11402,2019/3/1 7:26,3,2,14.0
313,11403,2019/3/1 7:26,3,3,14.0
316,11404,2019/3/1 7:26,1,4,14.0
317,11407,2019/3/1 7:26,1,7,14.0
318,11502,2019/3/1 7:26,3,2,15.0
321,11207,2019/3/1 7:27,1,7,12.0
322,11209,2019/3/1 7:27,1,9,12.0
323,11210,2019/3/1 7:27,1,10,12.0
324,11305,2019/3/1 7:27,1,5,13.0
325,11306,2019/3/1 7:27,2,6,13.0
327,11307,2019/3/1 7:27,1,7,13.0
328,11308,2019/3/1 7:27,3,8,13.0
331,11309,2019/3/1 7:27,1,9,13.0
332,11310,2019/3/1 7:27,3,10,13.0
335,11404,2019/3/1 7:27,2,4,14.0
337,11405,2019/3/1 7:27,1,5,14.0
338,11409,2019/3/1 7:27,1,9,14.0
339,11410,2019/3/1 7:27,3,10,14.0
342,11411,2019/3/1 7:27,3,11,14.0
345,11300,2019/3/1 7:28,1,0,13.0
346,11301,2019/3/1 7:28,1,1,13.0
347,11302,2019/3/1 7:28,1,2,13.0
348,11305,2019/3/1 7:29,1,5,13.0
349,11306,2019/3/1 7:29,1,6,13.0
350,11308,2019/3/1 7:29,1,8,13.0
351,11309,2019/3/1 7:29,1,9,13.0
352,11310,2019/3/1 7:29,1,10,13.0
353,11402,2019/3/1 7:29,2,2,14.0
355,11403,2019/3/1 7:29,2,3,14.0
357,11404,2019/3/1 7:29,3,4,14.0
360,11405,2019/3/1 7:29,2,5,14.0
362,11406,2019/3/1 7:29,1,6,14.0
363,11407,2019/3/1 7:29,1,7,14.0
364,11411,2019/3/1 7:29,1,11,14.0
365,11502,2019/3/1 7:29,2,2,15.0
367,11504,2019/3/1 7:29,1,4,15.0
368,11300,2019/3/1 7:30,2,0,13.0
370,11301,2019/3/1 7:30,2,1,13.0
372,11302,2019/3/1 7:30,2,2,13.0
374,11305,2019/3/1 7:30,1,5,13.0
375,11306,2019/3/1 7:30,3,6,13.0
378,11307,2019/3/1 7:30,4,7,13.0
382,11308,2019/3/1 7:30,3,8,13.0
385,11309,2019/3/1 7:30,3,9,13.0
388,11310,2019/3/1 7:30,3,10,13.0
391,11402,2019/3/1 7:30,1,2,14.0
392,11403,2019/3/1 7:30,3,3,14.0
395,11404,2019/3/1 7:30,3,4,14.0
398,11405,2019/3/1 7:30,2,5,14.0
400,11408,2019/3/1 7:30,1,8,14.0
401,11410,2019/3/1 7:30,6,10,14.0
407,11411,2019/3/1 7:30,3,11,14.0
410,11204,2019/3/1 7:31,1,4,12.0
411,11205,2019/3/1 7:31,1,5,12.0
412,11206,2019/3/1 7:31,1,6,12.0
413,11207,2019/3/1 7:31,2,7,12.0
415,11208,2019/3/1 7:31,2,8,12.0
417,11210,2019/3/1 7:31,1,10,12.0
418,11306,2019/3/1 7:31,1,6,13.0
419,11307,2019/3/1 7:31,1,7,13.0
420,11308,2019/3/1 7:31,1,8,13.0
421,11309,2019/3/1 7:31,5,9,13.0
426,11310,2019/3/1 7:31,11,10,13.0
437,11311,2019/3/1 7:31,1,11,13.0
438,11315,2019/3/1 7:31,1,15,13.0
439,11316,2019/3/1 7:31,1,16,13.0
440,11404,2019/3/1 7:31,1,4,14.0
441,11405,2019/3/1 7:31,1,5,14.0
442,11406,2019/3/1 7:31,1,6,14.0
443,11407,2019/3/1 7:31,1,7,14.0
444,11408,2019/3/1 7:31,2,8,14.0
446,11409,2019/3/1 7:31,1,9,14.0
447,11410,2019/3/1 7:31,19,10,14.0
466,11411,2019/3/1 7:31,16,11,14.0
482,11412,2019/3/1 7:31,2,12,14.0
484,11413,2019/3/1 7:31,2,13,14.0
486,11414,2019/3/1 7:31,2,14,14.0
488,11417,2019/3/1 7:31,1,17,14.0
489,11504,2019/3/1 7:31,1,4,15.0
490,10709,2019/3/1 7:32,1,9,7.0
491,10809,2019/3/1 7:32,1,9,8.0
492,10909,2019/3/1 7:32,1,9,9.0
493,11009,2019/3/1 7:32,1,9,10.0
494,11109,2019/3/1 7:32,1,9,11.0
495,11202,2019/3/1 7:32,2,2,12.0
497,11203,2019/3/1 7:32,2,3,12.0
499,11204,2019/3/1 7:32,5,4,12.0
504,11205,2019/3/1 7:32,7,5,12.0
511,11206,2019/3/1 7:32,8,6,12.0
519,11207,2019/3/1 7:32,8,7,12.0
527,11208,2019/3/1 7:32,10,8,12.0
537,11209,2019/3/1 7:32,8,9,12.0
545,11300,2019/3/1 7:32,1,0,13.0
546,11301,2019/3/1 7:32,3,1,13.0
549,11302,2019/3/1 7:32,1,2,13.0
550,11304,2019/3/1 7:32,1,4,13.0
551,11305,2019/3/1 7:32,3,5,13.0
554,11306,2019/3/1 7:32,3,6,13.0
557,11307,2019/3/1 7:32,4,7,13.0
