id,xy
10000,"[0,13,9,'08:54:30'],[5,13,232,'08:55:17'],[11,5,184,'09:01:05'],[26,6,2138,'09:12:21'],[22,5,2470,'09:49:09'],[3,2,2596,'10:37:33'],[10,21,62,'11:27:07'],[17,15,0,'11:30:55'],"
10002,"[4,15,9,'08:58:40'],[5,13,398,'08:59:01'],[22,10,1965,'09:11:04'],[5,5,3731,'09:48:18'],[7,9,478,'10:51:11'],[24,6,1330,'11:05:09'],[27,15,156,'11:29:13'],[5,15,0,'11:35:46'],"
10003,"[2,15,11,'08:44:10'],[4,13,388,'08:44:41'],[11,4,126,'08:53:33'],[8,11,183,'08:57:06'],[26,8,5200,'09:03:39'],[28,14,273,'10:31:56'],[4,2,1727,'10:43:52'],[25,5,819,'11:18:50'],[15,15,0,'11:35:19'],"
10004,"[0,13,8,'08:45:50'],[4,13,176,'08:46:23'],[11,5,89,'08:51:20'],[16,11,274,'08:55:35'],[22,7,2580,'09:02:09'],[5,5,63,'09:50:28'],[2,5,3850,'09:53:19'],[11,5,74,'10:59:25'],[6,7,622,'11:01:17'],[8,10,472,'11:11:57'],[17,15,0,'11:21:20'],"
10012,"[2,15,9,'08:50:00'],[3,13,171,'08:50:18'],[16,8,256,'08:55:53'],[17,8,4180,'09:00:09'],[17,7,1223,'10:09:56'],[11,9,686,'10:32:33'],[28,15,231,'10:47:08'],[24,8,2135,'10:52:04'],[17,11,1343,'11:30:56'],[17,15,0,'11:53:43'],"
10014,"[2,15,8,'08:52:20'],[5,13,382,'08:52:57'],[10,20,367,'09:02:32'],[20,6,2080,'09:14:09'],[22,10,2547,'09:50:42'],[2,3,2288,'10:41:41'],[10,4,421,'11:23:08'],[8,4,310,'11:30:19'],[22,8,1081,'11:39:58'],[17,15,0,'12:00:49'],"
10015,"[4,15,9,'08:48:20'],[4,13,268,'08:48:41'],[16,3,208,'08:56:31'],[22,10,1850,'09:06:29'],[27,15,68,'09:38:31'],[4,5,1548,'09:43:41'],[7,8,439,'10:10:40'],[11,5,70,'10:18:39'],[17,4,1660,'10:23:09'],[24,6,2002,'10:55:07'],[11,5,89,'11:34:00'],[15,15,0,'11:43:04'],"
10021,"[2,15,11,'08:48:00'],[4,13,218,'08:48:31'],[18,12,370,'08:54:09'],[17,9,2450,'09:01:39'],[23,6,2144,'09:47:45'],[22,14,568,'10:33:51'],[5,29,2394,'10:46:15'],[11,21,79,'11:27:50'],[17,7,192,'11:33:17'],[24,8,746,'11:39:13'],[5,15,0,'11:55:24'],"
10022,"[0,13,8,'09:36:20'],[5,13,423,'09:37:06'],[6,6,596,'09:44:53'],[26,5,1455,'09:59:14'],[28,14,171,'10:25:48'],[15,8,2823,'10:31:16'],[2,29,1881,'11:20:48'],[17,15,0,'11:55:06'],"
10026,"[4,15,9,'08:45:00'],[5,13,167,'08:45:22'],[17,3,546,'08:51:13'],[20,10,2434,'09:06:55'],[22,9,2364,'09:51:25'],[28,14,337,'10:32:52'],[5,3,70,'10:43:57'],[2,2,1912,'10:47:37'],[10,20,191,'11:26:48'],[15,15,0,'11:32:46'],"
10027,"[2,15,9,'08:47:20'],[2,13,251,'08:47:38'],[27,15,130,'08:55:19'],[23,8,2597,'09:05:42'],[20,8,2605,'09:49:34'],[3,2,2421,'10:42:58'],[27,14,241,'11:29:38'],[19,14,113,'11:35:06'],[23,5,1032,'11:41:07'],[17,15,0,'12:01:35'],"
10032,"[2,15,9,'09:13:20'],[2,13,242,'09:13:37'],[6,9,674,'09:18:45'],[5,4,6264,'09:31:25'],[11,21,76,'11:19:53'],[15,15,0,'11:23:44'],"
10033,"[2,15,9,'09:05:50'],[3,13,412,'09:06:07'],[9,8,323,'09:15:06'],[6,4,525,'09:20:54'],[4,6,6532,'09:30:07'],[11,5,83,'11:20:06'],[17,15,0,'11:24:49'],"
10037,"[4,15,8,'08:49:40'],[5,13,211,'08:49:58'],[8,13,411,'08:53:48'],[5,27,8858,'09:02:31'],[15,15,0,'11:34:48'],"
10041,"[0,13,8,'09:05:00'],[3,13,339,'09:06:00'],[4,26,7633,'09:14:06'],[17,15,0,'11:23:46'],"
10045,"[4,15,8,'08:50:40'],[2,13,154,'08:51:05'],[6,10,286,'08:55:03'],[25,6,2578,'09:04:01'],[23,6,2384,'09:47:15'],[27,15,67,'10:29:32'],[4,2,2146,'10:37:03'],[22,8,826,'11:17:53'],[15,15,0,'11:33:48'],"
10046,"[2,15,11,'08:36:20'],[5,13,399,'08:37:00'],[15,12,928,'08:44:51'],[5,26,8385,'09:02:34'],[15,15,0,'11:24:10'],"
10051,"[2,15,8,'08:39:20'],[3,13,412,'08:39:37'],[17,8,648,'08:49:21'],[21,7,5307,'09:03:42'],[5,3,2298,'10:39:31'],[9,10,365,'11:19:34'],[11,4,169,'11:27:50'],[26,7,920,'11:39:29'],[15,15,0,'11:57:49'],"
10053,"[4,15,8,'08:30:10'],[4,13,453,'08:30:26'],[18,8,1175,'08:40:14'],[20,9,2685,'09:02:04'],[22,6,2510,'09:47:59'],[5,2,2378,'10:35:11'],[11,20,323,'11:19:06'],[10,20,400,'11:24:29'],[15,15,0,'11:34:08'],"
10056,"[2,15,10,'08:44:40'],[4,13,308,'08:45:11'],[18,3,383,'08:53:26'],[23,9,2331,'09:04:58'],[28,15,171,'09:45:38'],[23,6,2193,'09:51:06'],[26,13,1276,'10:29:53'],[26,8,2405,'10:51:44'],[28,14,286,'11:33:53'],[21,5,754,'11:41:15'],[5,15,0,'11:57:29'],"
10058,"[2,15,10,'08:57:40'],[5,13,278,'08:58:21'],[25,8,1902,'09:09:37'],[3,5,2419,'09:48:00'],[10,4,237,'10:30:22'],[6,8,739,'10:35:00'],[8,11,201,'10:47:38'],[24,7,2112,'10:55:27'],[28,14,191,'11:32:38'],[23,7,1105,'11:37:24'],[15,15,0,'11:58:28'],"
10077,"[0,13,9,'08:33:50'],[3,13,353,'08:34:16'],[10,4,288,'08:42:31'],[8,7,742,'08:47:47'],[25,7,1837,'09:06:52'],[2,5,3609,'09:44:30'],[10,4,271,'10:47:48'],[26,7,1690,'10:57:39'],[16,7,380,'11:29:19'],[22,9,1127,'11:37:42'],[28,15,105,'11:58:04'],[15,15,0,'12:02:00'],"
10080,"[2,15,10,'08:59:50'],[2,13,209,'09:00:10'],[8,2,388,'09:05:31'],[6,10,402,'09:12:57'],[16,3,413,'09:22:56'],[5,6,5362,'09:34:07'],[27,14,312,'11:06:57'],[15,15,0,'11:13:44'],"
10084,"[0,13,9,'08:51:10'],[3,13,266,'08:51:43'],[20,5,2108,'09:07:31'],[5,5,60,'09:49:09'],[4,4,2353,'09:51:06'],[11,7,427,'10:33:02'],[8,11,295,'10:41:14'],[11,20,327,'10:48:32'],[26,6,1848,'10:59:41'],[11,4,313,'11:36:36'],[24,9,769,'11:45:20'],[17,15,0,'12:00:54'],"
10085,"[2,15,12,'08:44:20'],[2,13,156,'08:44:43'],[10,5,108,'08:49:31'],[9,14,535,'08:52:44'],[6,10,633,'09:02:06'],[22,5,1240,'09:16:49'],[5,4,657,'09:42:42'],[15,15,0,'09:56:01'],"
